
Too Fast messages are printed when the interpolated speeds exceed
the following:
     Trains/Subway - 41 mph
     Express Buses - 41 mph
     Ferries       - 15 mph
     All others    - 30 mph

Route ID, Stop Group, TimePoints (sequence), time, distance, speed
  15757: B     4H-W-S-1    21- 26   hrs=0.0167 mi= 0.600 mph=36.0
  15754: B     4H-E-W-1    18- 29   hrs=0.1167 mi= 3.968 mph=34.0
  15756: B     4H-W-W-1    21- 26   hrs=0.0167 mi= 0.600 mph=36.0
   2076: B     52-N-S-1    26- 35   hrs=0.0833 mi= 2.746 mph=33.0
   2077: B     52-N-S-2    26- 35   hrs=0.0667 mi= 2.746 mph=41.2
   2078: B     52-N-U-1    26- 35   hrs=0.0833 mi= 2.746 mph=33.0
   2074: B     52-N-W-2    25- 34   hrs=0.0667 mi= 2.746 mph=41.2
   2075: B     52-N-W-3    25- 34   hrs=0.0833 mi= 2.746 mph=33.0
   2087: B     53-N-W-2    12- 21   hrs=0.0833 mi= 2.746 mph=33.0
   2093: B     54-N-S-1    27- 36   hrs=0.0833 mi= 2.746 mph=33.0
   2094: B     54-N-S-2    27- 36   hrs=0.0667 mi= 2.746 mph=41.2
   2095: B     54-N-U-1    27- 36   hrs=0.0833 mi= 2.746 mph=33.0
   2096: B     54-N-U-2    27- 36   hrs=0.0833 mi= 2.746 mph=33.0
   2091: B     54-N-W-2    27- 36   hrs=0.0667 mi= 2.746 mph=41.2
   2092: B     54-N-W-3    27- 36   hrs=0.0833 mi= 2.746 mph=33.0
  23435: X     5A-E-S-1     1-  3   hrs=0.1167 mi= 4.285 mph=36.7
  23439: X     5A-W-S-1     4-  6   hrs=0.5333 mi=17.318 mph=32.5
  23436: X     5A-E-U-1     1-  3   hrs=0.1000 mi= 4.285 mph=42.9
  23440: X     5A-W-U-1     4-  6   hrs=0.5500 mi=17.318 mph=31.5
  23434: X     5A-E-W-1     1-  3   hrs=0.1000 mi= 4.285 mph=42.9
  23438: X     5A-W-W-1     4-  6   hrs=0.5000 mi=17.318 mph=34.6
  16756: B     7A-N-S-3    34- 36   hrs=0.1167 mi= 4.088 mph=35.0
  16757: B     7A-N-S-4    52- 54   hrs=0.1167 mi= 4.088 mph=35.0
  16759: B     7A-S-S-1     1-  3   hrs=0.1000 mi= 3.710 mph=37.1
  16762: B     7A-N-U-2    34- 36   hrs=0.1167 mi= 4.088 mph=35.0
  16763: B     7A-N-U-3    10- 19   hrs=0.0833 mi= 2.709 mph=32.5
  16764: B     7A-N-U-4    52- 54   hrs=0.1167 mi= 4.088 mph=35.0
  16766: B     7A-S-U-1     1-  3   hrs=0.1000 mi= 3.710 mph=37.1
  16740: B     7A-N-W-2    34- 36   hrs=0.1167 mi= 4.088 mph=35.0
  16741: B     7A-N-W-3    52- 54   hrs=0.1333 mi= 4.088 mph=30.7
  16790: B     7A-S-W-1     1-  3   hrs=0.1000 mi= 3.710 mph=37.1
  16743: B     7A-S-W-2     1-  3   hrs=0.1167 mi= 3.710 mph=31.8
   1581: B     7C-N-W-1    16- 19   hrs=0.1167 mi= 3.970 mph=34.0
   1582: B     7C-S-W-1     1-  3   hrs=0.1167 mi= 3.608 mph=30.9
   2336: B     7E-N-W-1    20- 23   hrs=0.1167 mi= 3.960 mph=33.9
   2337: B     7E-S-W-1     1-  3   hrs=0.1167 mi= 3.739 mph=32.1
  16774: B     7F-N-S-1    40- 42   hrs=0.1167 mi= 4.088 mph=35.0
  16775: B     7F-N-S-2    57- 59   hrs=0.1167 mi= 4.088 mph=35.0
  16777: B     7F-S-S-1     1-  3   hrs=0.1000 mi= 3.710 mph=37.1
  16779: B     7F-N-W-1    40- 42   hrs=0.1167 mi= 4.088 mph=35.0
  16780: B     7F-N-W-2    57- 59   hrs=0.1167 mi= 4.088 mph=35.0
  16782: B     7F-S-W-1     1-  3   hrs=0.1167 mi= 3.710 mph=31.8
   1063: B     7H-S-W-1     1- 10   hrs=0.2333 mi= 8.003 mph=34.3
   2341: B     7W-S-W-1     1-  3   hrs=0.1667 mi= 5.413 mph=32.5
   2343: B     7X-S-W-1     1-  3   hrs=0.1667 mi= 5.413 mph=32.5
   1688: B     80-S-W-1    62- 72   hrs=0.0500 mi= 1.573 mph=31.5
   1065: B     81-N-U-1    44- 58   hrs=0.1333 mi= 4.029 mph=30.2
   1066: B     81-S-U-1    17- 25   hrs=0.0833 mi= 2.872 mph=34.5
   1079: B     83-S-S-1    35- 51   hrs=0.1167 mi= 3.518 mph=30.2
   1078: B     83-S-W-1    35- 51   hrs=0.1167 mi= 3.518 mph=30.2
   1090: B     86-N-S-1    58- 75   hrs=0.1833 mi= 6.430 mph=35.1
   1091: B     86-N-U-1    58- 75   hrs=0.2000 mi= 6.430 mph=32.1
   1094: B     86-S-U-1    59- 69   hrs=0.0500 mi= 1.509 mph=30.2
   1089: B     86-N-W-2    17- 29   hrs=0.0500 mi= 1.685 mph=33.7
   1092: B     86-S-W-1    12- 29   hrs=0.1333 mi= 5.156 mph=38.7
   1095: B     87-N-W-1     1-  5   hrs=0.0500 mi= 1.782 mph=35.6
   1096: B     87-N-W-2     1-  5   hrs=0.0500 mi= 1.782 mph=35.6
   1097: B     87-S-W-1    42- 48   hrs=0.1833 mi= 6.757 mph=36.9
   1098: B     87-S-W-2     6- 11   hrs=0.0333 mi= 1.336 mph=40.1
   1564: B     88-S-W-1    42- 46   hrs=0.2500 mi= 9.856 mph=39.4
